City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1,Coihaique,CL,59.0,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
3,Rikitea,PF,77.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
4,Kapaa,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
5,Lagoa,PT,55.99,scattered clouds,39.05,-27.9833,Casa Das Faias
8,Ushuaia,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
10,Constitucion,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
11,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
12,Torbay,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
13,Port Alfred,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
14,Yellowknife,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
19,Saldanha,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
23,Kodiak,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
26,Fortuna,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
27,Ancud,CL,59.0,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
29,Dingle,PH,75.25,light rain,10.9995,122.6711,SEGAYA PROPERTY
30,Kavieng,PG,82.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
31,Punta Arenas,CL,59.0,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
33,Half Moon Bay,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
36,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
39,Clyde River,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
41,Hithadhoo,MV,81.57,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Cape Town,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
46,Pochutla,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
47,Hermanus,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
48,Port-Gentil,GA,86.0,scattered clouds,-0.7193,8.7815,Fengshui Residence
49,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
50,Attawapiskat,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
52,Puerto Ayora,EC,78.8,clear sky,-0.7393,-90.3518,Castillo Galapagos
54,Lalmohan,BD,73.0,clear sky,22.3384,90.7419,Sundorbon courier service
55,Pontianak,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
56,Sechura,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
57,Kokopo,PG,82.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
58,Bredasdorp,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
59,Podor,MR,86.0,clear sky,16.6527,-14.9587,La cour du fleuve
61,Jamestown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
62,Atuona,PF,77.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
64,Makakilo City,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
65,Buraydah,SA,60.8,scattered clouds,26.326,43.975,Mövenpick Hotel Qassim
66,Poso,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
67,Mataura,PF,77.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
68,Jumla,NP,39.58,broken clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
71,Atambua,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
73,Pangoa,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
74,Aklavik,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
75,Mar Del Plata,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
76,San Cristobal,EC,78.8,clear sky,-0.7393,-90.3518,Castillo Galapagos
78,Deltona,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
81,Trincomalee,LK,76.24,heavy intensity rain,8.5711,81.2335,Welcombe Hotel
83,Ponta Do Sol,PT,55.99,scattered clouds,39.05,-27.9833,Casa Das Faias
85,Chuy,UY,76.84,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
88,Ponta Do Sol,PT,57.0,light rain,32.6667,-17.1,Hotel do Campo
90,Alofi,NU,75.2,few clouds,-19.0595,-169.9187,Taloa Heights
91,Pangnirtung,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
92,Port Elizabeth,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
93,Ocos,GT,78.8,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
95,Kenai,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
96,Bengkulu,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
97,Plettenberg Bay,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
98,Gizo,SB,83.5,overcast clouds,-8.103,156.8419,Imagination Island
99,Bluff,NZ,51.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
101,Ponta Delgada,PT,55.99,scattered clouds,39.05,-27.9833,Casa Das Faias
102,Margate,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
103,Kroya,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
104,Jijiga,ET,59.77,clear sky,9.35,42.8,RAMAAS HOTEL
105,Brae,GB,41.0,broken clouds,60.3964,-1.3530000000000002,Busta House Hotel
109,Coos Bay,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
110,Sur,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
111,Muli,MV,81.57,overcast clouds,-0.6,73.0833,Scoop Guest House
113,Mendi,ET,59.77,clear sky,9.35,42.8,RAMAAS HOTEL
115,Naze,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
117,College,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
120,Rocha,UY,76.84,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
122,Tuktoyaktuk,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
124,Ternate,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
125,Faanui,PF,77.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
126,Ebeltoft,DK,35.6,overcast clouds,56.1944,10.6821,Hotel Ebeltoft Strand
129,Chimbote,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
132,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
133,Central Point,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
136,Butaritari,KI,81.43,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
137,Kirakira,SB,83.5,overcast clouds,-8.103,156.8419,Imagination Island
138,Dunedin,NZ,51.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
139,Dauphin,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
142,High Rock,BS,62.6,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
143,Faya,SA,59.0,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
146,Rosarito,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
147,Norman Wells,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
148,Castro,CL,59.0,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
150,Ewo,CG,88.0,scattered clouds,-0.8725,14.8206,Residence Elonda Ewo
151,Floro,NO,39.2,light rain,61.5996,5.0328,Kinn Hotell Florø
152,Dalaba,GN,89.55,clear sky,10.7,-12.25,Hôtel Tangama
155,La Grande,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
157,Ada,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
158,Jizan,SA,60.8,scattered clouds,26.326,43.975,Mövenpick Hotel Qassim
