City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,77.0,94,40,3.44,scattered clouds
1,Coihaique,CL,-45.5752,-72.0662,59.0,51,75,6.91,moderate rain
2,Albany,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,77.68,77,100,12.39,overcast clouds
4,Kapaa,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
5,Lagoa,PT,39.05,-27.9833,55.99,59,36,8.84,scattered clouds
6,Nikolskoye,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
7,Magdagachi,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
8,Ushuaia,AR,-54.8,-68.3,57.2,38,20,4.61,few clouds
9,Gobabis,NA,-22.45,18.9667,81.34,45,78,9.24,light rain
10,Constitucion,CL,-35.3333,-72.4167,63.88,51,0,16.69,clear sky
11,Cayenne,GF,4.9333,-52.3333,77.0,100,75,11.5,broken clouds
12,Torbay,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
14,Yellowknife,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
15,Aripuana,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
16,Qaanaaq,GL,77.484,-69.3632,-0.87,77,49,4.34,scattered clouds
17,Rongcheng,CN,30.634,117.8517,30.45,78,100,2.24,overcast clouds
18,Hobart,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
19,Saldanha,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
20,Busselton,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
21,Arraial Do Cabo,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
22,Barcelos,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
23,Kodiak,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
24,Tumannyy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
25,Sentyabrskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
26,Fortuna,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
27,Ancud,CL,-45.5752,-72.0662,59.0,51,75,6.91,moderate rain
28,Pitanga,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
29,Dingle,PH,10.9995,122.6711,75.25,89,100,12.84,light rain
30,Kavieng,PG,-2.5744,150.7967,82.18,78,99,10.89,overcast clouds
31,Punta Arenas,CL,-45.5752,-72.0662,59.0,51,75,6.91,moderate rain
32,Cherskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
33,Half Moon Bay,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
34,Bogorodskoye,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
35,Dzhebariki-Khaya,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
36,Salalah,OM,17.0151,54.0924,73.4,49,0,4.61,clear sky
