City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kruisfontein,ZA,2021-01-07 21:01:03,-34.0033,24.7314,71.01,86,16,1.99
1,Pasni,PK,2021-01-07 20:59:11,25.2631,63.471,55.71,40,0,36.17
2,Port Elizabeth,ZA,2021-01-07 20:56:40,-33.918,25.5701,69.8,88,75,16.11
3,Lebu,CL,2021-01-07 21:01:03,-37.6167,-73.65,59.23,65,0,21.3
4,Nikolskoye,RU,2021-01-07 21:01:03,59.7035,30.7861,24.8,86,75,6.71
5,Itoman,JP,2021-01-07 21:01:03,26.1247,127.6694,51.8,82,75,21.85
6,Bethel,US,2021-01-07 20:57:49,41.3712,-73.414,34.0,66,0,3.0
7,Narsaq,GL,2021-01-07 21:01:03,60.9167,-46.05,37.4,87,90,3.44
8,Bilma,NE,2021-01-07 21:01:03,18.6853,12.9164,74.66,19,0,5.75
9,Presidencia Roque Saenz Pena,AR,2021-01-07 20:58:28,-26.7852,-60.4388,91.99,40,62,1.99
10,Hermanus,ZA,2021-01-07 21:01:04,-34.4187,19.2345,70.0,74,64,7.34
11,Port Hardy,CA,2021-01-07 21:01:04,50.6996,-127.4199,46.4,81,75,21.85
12,Ribeira Grande,PT,2021-01-07 21:01:04,38.5167,-28.7,55.4,67,20,13.8
13,Thompson,CA,2021-01-07 21:01:04,55.7435,-97.8558,26.6,86,40,6.91
14,Sandy Point,AU,2021-01-07 21:01:04,-38.8167,146.1,61.12,73,0,8.77
15,Vostok,RU,2021-01-07 21:01:04,46.4856,135.8833,-21.08,87,100,2.93
16,Albany,US,2021-01-07 21:01:04,42.6001,-73.9662,32.0,71,6,11.99
17,Gustavo Diaz Ordaz,MX,2021-01-07 21:01:04,26.2333,-98.5833,73.99,23,37,1.01
18,Rikitea,PF,2021-01-07 20:57:09,-23.1203,-134.9692,78.04,70,100,5.66
19,Khatanga,RU,2021-01-07 20:57:14,71.9667,102.5,-0.02,93,100,15.39
20,Qaanaaq,GL,2021-01-07 20:57:06,77.484,-69.3632,-17.43,69,0,7.45
21,Barrow,US,2021-01-07 21:01:05,71.2906,-156.7887,-11.2,77,20,8.05
22,Chengde,CN,2021-01-07 21:01:05,40.9725,117.9361,-5.93,70,0,5.41
23,Jamestown,US,2021-01-07 20:57:09,42.097,-79.2353,30.0,80,90,6.91
24,Pevek,RU,2021-01-07 21:01:05,69.7008,170.3133,-8.82,91,100,5.03
25,Vaini,TO,2021-01-07 21:01:05,-21.2,-175.2,77.0,94,90,13.8
26,Asau,RO,2021-01-07 21:00:42,46.4333,26.4,39.2,70,20,10.36
27,Nanortalik,GL,2021-01-07 21:01:05,60.1432,-45.2371,37.85,92,100,10.33
28,Tuktoyaktuk,CA,2021-01-07 20:57:41,69.4541,-133.0374,-13.0,84,20,10.36
29,Mount Gambier,AU,2021-01-07 21:01:05,-37.8333,140.7667,53.6,94,0,6.91
30,Maniitsoq,GL,2021-01-07 21:01:05,65.4167,-52.9,8.26,86,0,16.93
31,Kishapu,TZ,2021-01-07 21:01:06,-3.6167,33.8667,71.53,76,78,4.97
32,Ponta Do Sol,PT,2021-01-07 20:58:38,32.6667,-17.1,55.4,88,75,21.85
33,Carnarvon,AU,2021-01-07 20:57:41,-24.8667,113.6333,82.4,69,75,5.75
34,Port Macquarie,AU,2021-01-07 21:00:55,-31.4333,152.9167,64.99,94,40,5.75
35,San Juan De La Maguana,DO,2021-01-07 21:00:19,18.8059,-71.2299,84.2,74,20,13.8
36,Alvik,SE,2021-01-07 21:01:06,60.7477,14.8746,25.0,100,90,1.14
37,Kapaa,US,2021-01-07 20:58:50,22.0752,-159.319,78.01,78,20,6.91
38,Shkurinskaya,RU,2021-01-07 21:01:06,46.5858,39.3599,45.95,70,100,10.4
39,Mataura,NZ,2021-01-07 20:57:04,-46.1927,168.8643,54.0,75,24,7.0
40,Outram,MY,2021-01-07 21:01:06,1.2829,103.8379,77.0,94,40,9.22
41,Svetlaya,RU,2021-01-07 21:01:07,46.5389,138.3297,-0.78,82,100,12.08
