City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nouadhibou,MR,2021-01-09 16:34:09,20.931,-17.0347,71.6,56,4,21.85
1,Bengkulu,ID,2021-01-09 16:34:09,-3.8004,102.2655,75.47,88,100,5.39
2,Leh,IN,2021-01-09 16:30:26,34.1667,77.5833,4.17,61,0,1.03
3,Atuona,PF,2021-01-09 16:34:09,-9.8,-139.0333,77.95,71,90,20.15
4,Arraial Do Cabo,BR,2021-01-09 16:34:09,-22.9661,-42.0278,87.8,66,40,9.22
5,Mindelo,CV,2021-01-09 16:34:09,16.8901,-24.9804,77.0,50,40,26.46
6,New Norfolk,AU,2021-01-09 16:34:09,-42.7826,147.0587,57.99,69,66,2.8
7,Port Alfred,ZA,2021-01-09 16:34:10,-33.5906,26.891,78.01,85,0,5.99
8,Thompson,CA,2021-01-09 16:34:10,55.7435,-97.8558,-0.4,92,90,2.3
9,Kaitangata,NZ,2021-01-09 16:34:10,-46.2817,169.8464,50.0,85,92,5.23
10,Kolondieba,ML,2021-01-09 16:34:10,11.0882,-6.8926,98.49,11,0,4.29
11,Verkhnyaya Balkariya,RU,2021-01-09 16:34:10,43.1279,43.4573,42.8,81,75,4.47
12,Redondela,ES,2021-01-09 16:34:10,42.2834,-8.6096,48.99,61,40,19.57
13,Saint-Philippe,RE,2021-01-09 16:34:10,-21.3585,55.7679,78.8,83,20,20.71
14,Ushuaia,AR,2021-01-09 16:32:46,-54.8,-68.3,59.0,33,20,5.75
15,Vaini,TO,2021-01-09 16:34:10,-21.2,-175.2,77.0,94,20,4.61
16,Maldonado,UY,2021-01-09 16:34:10,-34.6667,-54.9167,72.0,77,75,11.5
17,Bluff,NZ,2021-01-09 16:34:10,-46.6,168.3333,51.01,90,97,5.01
18,Mataura,NZ,2021-01-09 16:34:10,-46.1927,168.8643,51.01,90,71,5.01
19,Upernavik,GL,2021-01-09 16:34:10,72.7868,-56.1549,9.88,81,32,10.85
20,Kapaa,US,2021-01-09 16:34:10,22.0752,-159.319,64.4,94,1,6.91
21,Qaanaaq,GL,2021-01-09 16:34:11,77.484,-69.3632,-0.72,77,46,4.79
22,Mporokoso,ZM,2021-01-09 16:34:11,-9.3727,30.125,62.51,96,100,2.64
23,Alofi,NU,2021-01-09 16:29:37,-19.0595,-169.9187,75.2,94,24,5.75
24,Albany,US,2021-01-09 16:34:11,42.6001,-73.9662,28.0,58,100,3.0
25,Bambous Virieux,MU,2021-01-09 16:34:11,-20.3428,57.7575,79.0,94,40,6.91
26,Pasewalk,DE,2021-01-09 16:34:11,53.5063,13.99,36.0,99,64,4.16
27,Deputatskiy,RU,2021-01-09 16:34:11,69.3,139.9,-19.73,89,99,2.66
28,Acajutla,SV,2021-01-09 16:34:11,13.5928,-89.8275,80.6,47,0,2.3
29,Punta Arenas,CL,2021-01-09 16:32:11,-53.15,-70.9167,57.2,41,75,14.97
30,Chuy,UY,2021-01-09 16:34:11,-33.6971,-53.4616,75.76,51,8,11.5
31,Raudeberg,NO,2021-01-09 16:34:11,61.9875,5.1352,37.99,89,100,35.3
32,Pochutla,MX,2021-01-09 16:34:11,15.7432,-96.4661,82.99,61,1,4.38
33,Yenagoa,NG,2021-01-09 16:34:11,4.9247,6.2642,82.62,76,54,4.72
34,Astoria,US,2021-01-09 16:34:11,46.1879,-123.8313,41.0,93,1,9.22
35,Tiksi,RU,2021-01-09 16:34:11,71.6872,128.8694,-18.42,88,100,9.17
36,Mehamn,NO,2021-01-09 16:34:11,71.0357,27.8492,14.85,94,26,14.65
37,Hithadhoo,MV,2021-01-09 16:34:11,-0.6,73.0833,81.48,74,89,11.43
38,Jamestown,US,2021-01-09 16:34:12,42.097,-79.2353,32.0,80,1,10.36
39,Balotra,IN,2021-01-09 16:34:12,25.8333,72.2333,62.22,42,0,10.8
40,Tasiilaq,GL,2021-01-09 16:34:12,65.6145,-37.6368,14.0,48,40,5.75
41,Hilo,US,2021-01-09 16:34:12,19.7297,-155.09,69.8,83,90,5.75
42,Ponta Do Sol,PT,2021-01-09 16:34:12,32.6667,-17.1,55.99,75,59,5.01
43,Katsuura,JP,2021-01-09 16:34:12,35.1333,140.3,42.8,49,75,20.71
44,Rock Springs,US,2021-01-09 16:34:12,41.5875,-109.2029,14.0,92,90,3.44
45,Hobart,AU,2021-01-09 16:34:12,-42.8794,147.3294,57.99,88,90,4.61
46,Tetouan,MA,2021-01-09 16:34:12,35.5711,-5.3724,50.0,81,40,14.97
47,Torbay,CA,2021-01-09 16:34:12,47.6666,-52.7314,37.0,87,75,20.71
48,Ust-Maya,RU,2021-01-09 16:34:12,60.4167,134.5333,-33.23,83,100,1.19
49,Poso,ID,2021-01-09 16:34:12,-1.3959,120.7524,81.0,77,40,3.36
50,Castro,BR,2021-01-09 16:34:12,-24.7911,-50.0119,76.69,79,75,5.48
51,Collie,AU,2021-01-09 16:34:12,-33.3667,116.15,61.32,87,75,3.38
52,Iqaluit,CA,2021-01-09 16:34:12,63.7506,-68.5145,8.6,85,90,10.36
53,Nurobod,UZ,2021-01-09 16:34:13,40.9056,69.8023,24.8,68,0,4.61
54,Bindura,ZW,2021-01-09 16:34:13,-17.3019,31.3306,69.01,78,100,5.99
55,East London,ZA,2021-01-09 16:30:45,-33.0153,27.9116,75.2,88,75,12.66
56,Ilulissat,GL,2021-01-09 16:34:13,69.2167,-51.1,21.2,38,40,19.57
57,Rio Gallegos,AR,2021-01-09 16:34:13,-51.6226,-69.2181,59.0,47,75,14.97
58,Batemans Bay,AU,2021-01-09 16:34:13,-35.7167,150.1833,59.0,94,4,1.01
59,Rikitea,PF,2021-01-09 16:34:13,-23.1203,-134.9692,77.67,77,100,13.42
60,Nuuk,GL,2021-01-09 16:29:17,64.1835,-51.7216,28.4,59,40,6.4
61,Balkanabat,TM,2021-01-09 16:33:27,39.5108,54.3671,44.22,49,96,6.08
62,Karabash,RU,2021-01-09 16:34:13,55.4808,60.2157,11.23,96,79,0.67
63,Bella Union,UY,2021-01-09 16:34:13,-30.2752,-57.6007,92.46,22,100,1.66
64,Manjacaze,MZ,2021-01-09 16:34:13,-24.7117,33.8828,74.53,80,18,6.46
65,Nabire,ID,2021-01-09 16:34:13,-3.3667,135.4833,75.79,88,100,4.63
66,San Jose De Guanipa,VE,2021-01-09 16:34:13,8.8872,-64.1651,85.41,54,61,9.08
67,Merauke,ID,2021-01-09 16:34:13,-8.4667,140.3333,79.02,87,100,8.25
68,Severnyy,RU,2021-01-09 16:34:14,50.677,36.5532,32.0,86,75,8.95
69,Bagdarin,RU,2021-01-09 16:34:14,54.4333,113.6,-10.32,82,100,4.45
70,Tazovskiy,RU,2021-01-09 16:34:14,67.4667,78.7,-9.09,90,97,10.67
71,Meulaboh,ID,2021-01-09 16:34:14,4.1363,96.1285,74.3,93,100,4.9
72,Los Llanos De Aridane,ES,2021-01-09 16:34:14,28.6585,-17.9182,64.4,55,20,18.41
73,Lebu,CL,2021-01-09 16:34:14,-37.6167,-73.65,60.4,59,60,8.86
74,Comodoro Rivadavia,AR,2021-01-09 16:34:14,-45.8667,-67.5,73.4,25,40,24.16
75,Hobyo,SO,2021-01-09 16:34:14,5.3505,48.5268,76.46,69,1,23.51
76,Polunochnoye,RU,2021-01-09 16:34:14,60.8697,60.4153,-12.95,91,97,4.07
77,Kyzyl-Mazhalyk,RU,2021-01-09 16:34:14,51.1333,90.6,-18.27,76,73,0.27
78,Kumluca,TR,2021-01-09 16:34:14,36.3703,30.2869,60.51,74,73,4.12
79,Andapa,MG,2021-01-09 16:34:14,-14.65,49.65,70.68,89,27,0.85
80,Altay,CN,2021-01-09 16:34:14,47.8667,88.1167,-6.09,81,57,2.71
81,Husavik,IS,2021-01-09 16:34:15,66.0449,-17.3389,23.0,80,75,4.61
82,Jertih,MY,2021-01-09 16:34:15,5.7336,102.4897,80.6,74,40,6.91
83,Busselton,AU,2021-01-09 16:34:15,-33.65,115.3333,64.62,92,28,9.8
84,Cap Malheureux,MU,2021-01-09 16:34:15,-19.9842,57.6142,79.0,83,0,5.01
85,Santiago Del Estero,AR,2021-01-09 16:34:15,-27.7951,-64.2615,89.28,47,1,6.46
86,Chokurdakh,RU,2021-01-09 16:34:15,70.6333,147.9167,-23.67,88,100,1.72
87,Saskylakh,RU,2021-01-09 16:34:15,71.9167,114.0833,-19.62,86,100,10.51
88,Paamiut,GL,2021-01-09 16:34:15,61.994,-49.6678,31.01,96,100,7.11
89,Romitan,UZ,2021-01-09 16:34:15,39.9343,64.3814,24.8,80,0,2.3
90,Yumen,CN,2021-01-09 16:34:15,40.2833,97.2,11.1,72,93,23.91
91,Clyde River,CA,2021-01-09 16:34:15,70.4692,-68.5914,-2.2,78,75,4.61
92,Chateaubelair,VC,2021-01-09 16:34:15,13.2833,-61.25,82.4,78,75,9.22
93,Broome,US,2021-01-09 16:34:16,42.2506,-75.833,28.0,50,1,19.57
94,Tuktoyaktuk,CA,2021-01-09 16:34:16,69.4541,-133.0374,6.8,92,75,10.36
95,Butaritari,KI,2021-01-09 16:34:16,3.0707,172.7902,81.48,79,100,20.31
96,Puerto Ayora,EC,2021-01-09 16:34:16,-0.7393,-90.3518,80.6,69,0,16.11
97,Vila Velha,BR,2021-01-09 16:31:11,-20.3297,-40.2925,89.01,66,20,17.27
98,Saldanha,ZA,2021-01-09 16:34:16,-33.0117,17.9442,73.4,53,0,20.71
99,Lompoc,US,2021-01-09 16:32:14,34.6391,-120.4579,54.0,93,1,3.44
100,Avarua,CK,2021-01-09 16:34:16,-21.2078,-159.775,75.2,88,90,4.61
101,Coihaique,CL,2021-01-09 16:31:01,-45.5752,-72.0662,55.4,62,90,9.22
102,Dolores,AR,2021-01-09 16:34:16,-36.3132,-57.6792,85.66,26,20,5.73
103,Nikolskoye,RU,2021-01-09 16:34:16,59.7035,30.7861,10.99,85,84,6.71
104,Adrar,MR,2021-01-09 16:34:16,20.5022,-10.0711,75.69,35,60,11.5
105,Dikson,RU,2021-01-09 16:34:16,73.5069,80.5464,-11.06,82,33,1.79
106,Menongue,AO,2021-01-09 16:34:17,-14.6585,17.691,67.69,90,95,7.02
